time/s	Ewe/V	<I>/mA	cycle number	
0.000000000000000E+000	2.7218454E+000	1.371875896438723E-006	1.000000000000000E+000
1.833099953691999E+000	2.7213037E+000	-4.381327473130387E-006	1.000000000000000E+000
5.166199869490811E+000	2.7203104E+000	-1.013581566716216E-005	1.000000000000000E+000
8.499299785289622E+000	2.7193182E+000	-1.360404867899588E-005	1.000000000000000E+000
1.183239970108843E+001	2.7183247E+000	-1.665103142536758E-005	1.000000000000000E+000
1.516549961688725E+001	2.7173312E+000	-1.915986290893780E-005	1.000000000000000E+000
1.849859953268606E+001	2.7163191E+000	-2.156820980077259E-005	1.000000000000000E+000
2.183169944848487E+001	2.7153356E+000	-2.391230321764556E-005	1.000000000000000E+000
2.516479936428368E+001	2.7143300E+000	-2.578959504969549E-005	1.000000000000000E+000
2.849789928008249E+001	2.7133300E+000	-2.756303426107144E-005	1.000000000000000E+000
3.183089919588383E+001	2.7123556E+000	-2.946195449119652E-005	1.000000000000000E+000
3.516399911168264E+001	2.7113466E+000	-3.128014692101210E-005	1.000000000000000E+000
3.849709902748145E+001	2.7103422E+000	-3.302916131190552E-005	1.000000000000000E+000
4.183019894328027E+001	2.7093675E+000	-3.471043678428335E-005	1.000000000000000E+000
4.516329885907908E+001	2.7083800E+000	-3.621681865483711E-005	1.000000000000000E+000
4.849639877487789E+001	2.7073596E+000	-3.793040783330482E-005	1.000000000000000E+000
5.182949869067670E+001	2.7063806E+000	-3.953788829279652E-005	1.000000000000000E+000
5.516259860647551E+001	2.7053709E+000	-4.103415330197378E-005	1.000000000000000E+000
5.849569852227432E+001	2.7043977E+000	-4.263848742874586E-005	1.000000000000000E+000
6.182879843807314E+001	2.7033701E+000	-4.428031563261884E-005	1.000000000000000E+000
6.516189835387195E+001	2.7024071E+000	-4.557701978416751E-005	1.000000000000000E+000
6.849499826967076E+001	2.7013967E+000	-4.729776196282526E-005	1.000000000000000E+000
7.182799818547210E+001	2.7003758E+000	-4.875783774170681E-005	1.000000000000000E+000
7.516109810127091E+001	2.6993740E+000	-5.029156694309083E-005	1.000000000000000E+000
7.849419801706972E+001	2.6983712E+000	-5.154732426405754E-005	1.000000000000000E+000
8.182729793286853E+001	2.6973743E+000	-5.318409072401875E-005	1.000000000000000E+000
8.516039784866734E+001	2.6963637E+000	-5.440500463356653E-005	1.000000000000000E+000
8.849349776446616E+001	2.6953857E+000	-5.590680816972612E-005	1.000000000000000E+000
9.182659768026497E+001	2.6943731E+000	-5.737246227109985E-005	1.000000000000000E+000
9.515969759606378E+001	2.6933882E+000	-5.866397620495900E-005	1.000000000000000E+000
9.849279751186259E+001	2.6924055E+000	-6.006583726604283E-005	1.000000000000000E+000
1.018258974276614E+002	2.6914232E+000	-6.150087522642983E-005	1.000000000000000E+000
1.051589973434602E+002	2.6903944E+000	-6.305128600123556E-005	1.000000000000000E+000
1.084920972592590E+002	2.6894011E+000	-6.436541348494359E-005	1.000000000000000E+000
1.118250971750604E+002	2.6884303E+000	-6.581704111607292E-005	1.000000000000000E+000
1.151581970908592E+002	2.6874087E+000	-6.739375553981594E-005	1.000000000000000E+000
1.184912970066580E+002	2.6864223E+000	-6.858767244392769E-005	1.000000000000000E+000
1.218243969224568E+002	2.6854208E+000	-7.011590940830044E-005	1.000000000000000E+000
1.251574968382556E+002	2.6844027E+000	-7.166524379811906E-005	1.000000000000000E+000
1.284905967540544E+002	2.6834176E+000	-7.284485864622603E-005	1.000000000000000E+000
1.318236966698532E+002	2.6824389E+000	-7.449372905588860E-005	1.000000000000000E+000
1.351567965856520E+002	2.6814127E+000	-7.591983871740751E-005	1.000000000000000E+000
1.384898965014509E+002	2.6804287E+000	-7.724377821465188E-005	1.000000000000000E+000
1.418229964172497E+002	2.6794453E+000	-7.874334613024723E-005	1.000000000000000E+000
