time/s	Ewe/V	<I>/mA	cycle number	
0.000000000000000E+000	2.5968053E+000	1.107304251490859E-005	1.000000000000000E+000
1.833499953681894E+000	2.5962791E+000	-6.623676865591199E-006	1.000000000000000E+000
5.166599869480706E+000	2.5953202E+000	-1.892338352695318E-005	1.000000000000000E+000
8.499699785279518E+000	2.5943499E+000	-2.675046652673638E-005	1.000000000000000E+000
1.183279970107833E+001	2.5933619E+000	-3.357194261928626E-005	1.000000000000000E+000
1.516589961687714E+001	2.5923684E+000	-3.937628500077264E-005	1.000000000000000E+000
1.849899953267595E+001	2.5913582E+000	-4.498702949658467E-005	1.000000000000000E+000
2.183209944847476E+001	2.5903647E+000	-5.016004140237935E-005	1.000000000000000E+000
2.516519936427358E+001	2.5893981E+000	-5.518838807094155E-005	1.000000000000000E+000
2.849829928007239E+001	2.5883746E+000	-5.972854343902972E-005	1.000000000000000E+000
3.183139919587120E+001	2.5873904E+000	-6.386306059345587E-005	1.000000000000000E+000
3.516439911167254E+001	2.5863850E+000	-6.814224646492224E-005	1.000000000000000E+000
3.849749902747135E+001	2.5854051E+000	-7.243298264776707E-005	1.000000000000000E+000
4.183059894327016E+001	2.5844171E+000	-7.640935140649564E-005	1.000000000000000E+000
4.516369885906897E+001	2.5834043E+000	-8.017299210515453E-005	1.000000000000000E+000
4.849679877486778E+001	2.5824516E+000	-8.388460324121018E-005	1.000000000000000E+000
5.182989869066660E+001	2.5814292E+000	-8.761947696194123E-005	1.000000000000000E+000
5.516299860646541E+001	2.5803187E+000	-9.293635652504024E-005	1.000000000000000E+000
5.849609852226422E+001	2.5792980E+000	-9.599318208155226E-005	1.000000000000000E+000
6.182919843806303E+001	2.5782950E+000	-9.898102776225001E-005	1.000000000000000E+000
6.516229835386184E+001	2.5772915E+000	-1.025832139553427E-004	1.000000000000000E+000
6.849539826966065E+001	2.5762873E+000	-1.061521009254746E-004	1.000000000000000E+000
7.182849818545947E+001	2.5753026E+000	-1.095712892565535E-004	1.000000000000000E+000
7.516149810126080E+001	2.5742886E+000	-1.129542472831490E-004	1.000000000000000E+000
7.849459801705962E+001	2.5733011E+000	-1.156366609289120E-004	1.000000000000000E+000
8.182769793285843E+001	2.5722976E+000	-1.193043531391676E-004	1.000000000000000E+000
8.516079784865724E+001	2.5712948E+000	-1.228272139517986E-004	1.000000000000000E+000
8.849389776445605E+001	2.5703073E+000	-1.260245154939025E-004	1.000000000000000E+000
