time/s	Ewe/V	<I>/mA	cycle number	
0.000000000000000E+000	2.6565802E+000	2.327362524923160E-009	1.000000000000000E+000
5.993999848578824E+000	2.6566377E+000	-4.100545734885330E-007	1.000000000000000E+000
1.649389958332904E+001	2.6556327E+000	-2.230642445409555E-006	1.000000000000000E+000
2.649319933072547E+001	2.6546361E+000	-2.541235246474486E-006	1.000000000000000E+000
3.649239907812444E+001	2.6536393E+000	-4.340164945940725E-006	1.000000000000000E+000
4.649169882552087E+001	2.6526289E+000	-6.762499266300524E-006	1.000000000000000E+000
5.649099857291731E+001	2.6516116E+000	-8.152182859838626E-006	1.000000000000000E+000
6.649029832031374E+001	2.6506197E+000	-9.518219301352237E-006	1.000000000000000E+000
7.648959806771018E+001	2.6496224E+000	-1.081355895722414E-005	1.000000000000000E+000
8.648879781510914E+001	2.6486096E+000	-1.205996084899027E-005	1.000000000000000E+000
9.648809756250557E+001	2.6476243E+000	-1.321723751853427E-005	1.000000000000000E+000
1.064873973099020E+002	2.6466222E+000	-1.435442005850610E-005	1.000000000000000E+000
1.164865970573010E+002	2.6456299E+000	-1.542795507495525E-005	1.000000000000000E+000
1.264858968046974E+002	2.6446164E+000	-1.652995871417241E-005	1.000000000000000E+000
1.364851965520938E+002	2.6436472E+000	-1.752977301452795E-005	1.000000000000000E+000
1.464844962994903E+002	2.6426311E+000	-1.853851311152128E-005	1.000000000000000E+000
1.564837960468867E+002	2.6416194E+000	-1.963471177104452E-005	1.000000000000000E+000
1.664829957942857E+002	2.6406114E+000	-2.052218628725340E-005	1.000000000000000E+000
1.764822955416821E+002	2.6396205E+000	-2.144816490482637E-005	1.000000000000000E+000
1.864815952890785E+002	2.6386423E+000	-2.232486045099219E-005	1.000000000000000E+000
1.964797950365028E+002	2.6376243E+000	-2.320251880907074E-005	1.000000000000000E+000
2.064780947839245E+002	2.6366236E+000	-2.397712263224117E-005	1.000000000000000E+000
2.164773945313209E+002	2.6356087E+000	-2.485323249182307E-005	1.000000000000000E+000
2.264766942787173E+002	2.6346269E+000	-2.564887709193594E-005	1.000000000000000E+000
2.364759940261138E+002	2.6336155E+000	-2.640554139204013E-005	1.000000000000000E+000
2.464751937735127E+002	2.6326368E+000	-2.719458684305004E-005	1.000000000000000E+000
2.564744935209092E+002	2.6316543E+000	-2.788594459553271E-005	1.000000000000000E+000
2.664737932683056E+002	2.6306446E+000	-2.867200851446511E-005	1.000000000000000E+000
2.764730930157020E+002	2.6296575E+000	-2.924943987219278E-005	1.000000000000000E+000
2.864722927631010E+002	2.6286311E+000	-3.003197685399214E-005	1.000000000000000E+000
2.964715925104974E+002	2.6276278E+000	-3.068046562875099E-005	1.000000000000000E+000
3.064708922578939E+002	2.6266418E+000	-3.131759720510362E-005	1.000000000000000E+000
3.164701920052903E+002	2.6256583E+000	-3.187146048079384E-005	1.000000000000000E+000
3.264693917526893E+002	2.6246612E+000	-3.252088935253292E-005	1.000000000000000E+000
3.364686915000857E+002	2.6236444E+000	-3.321512855878068E-005	1.000000000000000E+000
3.464679912474821E+002	2.6226418E+000	-3.376715070871176E-005	1.000000000000000E+000
3.564672909948786E+002	2.6216528E+000	-3.438619999220505E-005	1.000000000000000E+000
3.664664907422775E+002	2.6206508E+000	-3.493973831526125E-005	1.000000000000000E+000
3.764657904896740E+002	2.6196773E+000	-3.567379874892606E-005	1.000000000000000E+000
3.864650902370704E+002	2.6186659E+000	-3.619030822652852E-005	1.000000000000000E+000
3.964633899844921E+002	2.6176715E+000	-3.671200164112376E-005	1.000000000000000E+000
4.064615897319163E+002	2.6166537E+000	-3.721967240332075E-005	1.000000000000000E+000
4.164608894793128E+002	2.6156785E+000	-3.767681157216841E-005	1.000000000000000E+000
4.264601892267092E+002	2.6146822E+000	-3.825022657659612E-005	1.000000000000000E+000
4.364594889741056E+002	2.6136529E+000	-3.882012672574899E-005	1.000000000000000E+000
4.464587887215021E+002	2.6126482E+000	-3.936941258069111E-005	1.000000000000000E+000
4.564579884689010E+002	2.6116543E+000	-3.984663719022719E-005	1.000000000000000E+000
4.664572882162975E+002	2.6106496E+000	-4.038941419058780E-005	1.000000000000000E+000
4.764565879636939E+002	2.6096673E+000	-4.081610053273366E-005	1.000000000000000E+000
4.864557877110929E+002	2.6086497E+000	-4.139030326630373E-005	1.000000000000000E+000
4.964550874584893E+002	2.6076500E+000	-4.187195784741089E-005	1.000000000000000E+000
5.064543872058857E+002	2.6066580E+000	-4.235285027090994E-005	1.000000000000000E+000
5.164536869532822E+002	2.6056314E+000	-4.287926163543956E-005	1.000000000000000E+000
5.264529867006786E+002	2.6046660E+000	-4.330931885561482E-005	1.000000000000000E+000
5.364521864480776E+002	2.6036463E+000	-4.377480983453231E-005	1.000000000000000E+000
5.464514861954740E+002	2.6026661E+000	-4.418611493446623E-005	1.000000000000000E+000
5.564507859428704E+002	2.6016517E+000	-4.467443784774606E-005	1.000000000000000E+000
5.664499856902694E+002	2.6006441E+000	-4.518643863218874E-005	1.000000000000000E+000
5.764492854376658E+002	2.5996690E+000	-4.563439881740972E-005	1.000000000000000E+000
5.864485851850623E+002	2.5986845E+000	-4.617013043926627E-005	1.000000000000000E+000
5.964468849324840E+002	2.5976439E+000	-4.658394046784164E-005	1.000000000000000E+000
6.064451846799057E+002	2.5966613E+000	-4.713615752016437E-005	1.000000000000000E+000
6.164443844273046E+002	2.5956593E+000	-4.750472235553137E-005	1.000000000000000E+000
6.264436841747010E+002	2.5946643E+000	-4.793657290127161E-005	1.000000000000000E+000
6.364429839220975E+002	2.5936644E+000	-4.839852070756979E-005	1.000000000000000E+000
6.464421836694964E+002	2.5926595E+000	-4.885808152356029E-005	1.000000000000000E+000
6.564414834168929E+002	2.5916915E+000	-4.924892208174017E-005	1.000000000000000E+000
6.664407831642893E+002	2.5906675E+000	-4.973717004666371E-005	1.000000000000000E+000
6.764400829116857E+002	2.5896852E+000	-5.018009015212078E-005	1.000000000000000E+000
6.864393826590822E+002	2.5886590E+000	-5.065903219791490E-005	1.000000000000000E+000
6.964385824064811E+002	2.5876625E+000	-5.115960081126707E-005	1.000000000000000E+000
7.064378821538776E+002	2.5866718E+000	-5.160229289196175E-005	1.000000000000000E+000
7.164371819012740E+002	2.5856702E+000	-5.198694236492848E-005	1.000000000000000E+000
7.264363816486730E+002	2.5846498E+000	-5.251439282477318E-005	1.000000000000000E+000
7.364356813960694E+002	2.5836670E+000	-5.289227700197216E-005	1.000000000000000E+000
7.464349811434658E+002	2.5826578E+000	-5.335647493647237E-005	1.000000000000000E+000
7.564342808908623E+002	2.5816607E+000	-5.386095883996400E-005	1.000000000000000E+000
7.664335806382587E+002	2.5806811E+000	-5.429129854862412E-005	1.000000000000000E+000
7.764327803856577E+002	2.5796764E+000	-5.469362889952298E-005	1.000000000000000E+000
7.864320801330541E+002	2.5786948E+000	-5.516077345300536E-005	1.000000000000000E+000
7.964303798804758E+002	2.5776806E+000	-5.561405982474547E-005	1.000000000000000E+000
8.064286796278975E+002	2.5767000E+000	-5.611429831633334E-005	1.000000000000000E+000
8.164278793752965E+002	2.5757010E+000	-5.652693360382830E-005	1.000000000000000E+000
8.264271791226929E+002	2.5747073E+000	-5.699216872203566E-005	1.000000000000000E+000
8.364264788700893E+002	2.5737264E+000	-5.747483737687841E-005	1.000000000000000E+000
8.464257786174858E+002	2.5727170E+000	-5.793727144873717E-005	1.000000000000000E+000
8.564249783648847E+002	2.5717058E+000	-5.841101492599422E-005	1.000000000000000E+000
8.664242781122812E+002	2.5707259E+000	-5.882894071693659E-005	1.000000000000000E+000
8.764235778596776E+002	2.5697432E+000	-5.937514974543081E-005	1.000000000000000E+000
8.864228776070740E+002	2.5687246E+000	-5.982717633637318E-005	1.000000000000000E+000
8.964221773544705E+002	2.5677505E+000	-6.030043559228111E-005	1.000000000000000E+000
9.064213771018694E+002	2.5667498E+000	-6.082159029532853E-005	1.000000000000000E+000
9.164206768492659E+002	2.5657401E+000	-6.132645822519781E-005	1.000000000000000E+000
9.264199765966623E+002	2.5647118E+000	-6.187740107799959E-005	1.000000000000000E+000
9.364191763440613E+002	2.5637028E+000	-6.223239634329213E-005	1.000000000000000E+000
9.464184760914577E+002	2.5626853E+000	-6.282879040497705E-005	1.000000000000000E+000
9.564177758388541E+002	2.5616953E+000	-6.330781095108718E-005	1.000000000000000E+000
9.664170755862506E+002	2.5606945E+000	-6.384505186631971E-005	1.000000000000000E+000
9.764163753336470E+002	2.5597060E+000	-6.437778265410690E-005	1.000000000000000E+000
9.864155750810460E+002	2.5587165E+000	-6.493668238332848E-005	1.000000000000000E+000
9.964138748284677E+002	2.5577013E+000	-6.540611424566783E-005	1.000000000000000E+000
1.006412174575889E+003	2.5567150E+000	-6.597540506070722E-005	1.000000000000000E+000
1.016411374323288E+003	2.5557303E+000	-6.645547356997012E-005	1.000000000000000E+000
1.026410674070685E+003	2.5547223E+000	-6.702939416831748E-005	1.000000000000000E+000
1.036409973818081E+003	2.5537279E+000	-6.751384845922448E-005	1.000000000000000E+000
1.046409273565478E+003	2.5527325E+000	-6.814310310264459E-005	1.000000000000000E+000
1.056408573312874E+003	2.5517411E+000	-6.869773439011182E-005	1.000000000000000E+000
1.066407773060273E+003	2.5507176E+000	-6.927101377930938E-005	1.000000000000000E+000
1.076405872807700E+003	2.5497546E+000	-6.981987395954345E-005	1.000000000000000E+000
1.086405172555096E+003	2.5487554E+000	-7.043231745876393E-005	1.000000000000000E+000
1.096404472302493E+003	2.5477409E+000	-7.097675607203234E-005	1.000000000000000E+000
1.106403672049892E+003	2.5467377E+000	-7.155243868530651E-005	1.000000000000000E+000
1.116402971797288E+003	2.5457513E+000	-7.220308946887858E-005	1.000000000000000E+000
1.126402271544684E+003	2.5447433E+000	-7.283537287543045E-005	1.000000000000000E+000
1.136401571292081E+003	2.5437374E+000	-7.347274517085936E-005	1.000000000000000E+000
1.146400771039480E+003	2.5427434E+000	-7.406210968478964E-005	1.000000000000000E+000
1.156400070786876E+003	2.5417514E+000	-7.460958546391672E-005	1.000000000000000E+000
1.166399370534273E+003	2.5407734E+000	-7.524943896950267E-005	1.000000000000000E+000
1.176398670281669E+003	2.5397565E+000	-7.587801226157536E-005	1.000000000000000E+000
1.186397870029068E+003	2.5387719E+000	-7.647505209830235E-005	1.000000000000000E+000
1.196396169776490E+003	2.5377648E+000	-7.708868547979327E-005	1.000000000000000E+000
1.206394469523912E+003	2.5367739E+000	-7.779819688077483E-005	1.000000000000000E+000
1.216393769271308E+003	2.5357778E+000	-7.834572015358299E-005	1.000000000000000E+000
1.226392969018707E+003	2.5347595E+000	-7.904457687045620E-005	1.000000000000000E+000
1.236392268766103E+003	2.5337656E+000	-7.961654241487389E-005	1.000000000000000E+000
1.246391568513500E+003	2.5327518E+000	-8.029341374670969E-005	1.000000000000000E+000
1.256390868260896E+003	2.5317552E+000	-8.094515761230333E-005	1.000000000000000E+000
1.266390068008295E+003	2.5307548E+000	-8.152620871286389E-005	1.000000000000000E+000
1.276389367755692E+003	2.5297544E+000	-8.212488524986521E-005	1.000000000000000E+000
1.286388667503088E+003	2.5287573E+000	-8.275211624551447E-005	1.000000000000000E+000
1.296387967250485E+003	2.5277777E+000	-8.341607574876523E-005	1.000000000000000E+000
1.306387166997883E+003	2.5267677E+000	-8.400792837690637E-005	1.000000000000000E+000
1.316386466745280E+003	2.5257528E+000	-8.474084716977881E-005	1.000000000000000E+000
1.326385766492676E+003	2.5247643E+000	-8.575830882061135E-005	1.000000000000000E+000
1.336385066240073E+003	2.5236189E+000	-8.631982413378342E-005	1.000000000000000E+000
1.346384265987472E+003	2.5226161E+000	-8.687248839739744E-005	1.000000000000000E+000
1.356383565734868E+003	2.5216298E+000	-8.748254672446632E-005	1.000000000000000E+000
1.366382865482265E+003	2.5206425E+000	-8.809214993065004E-005	1.000000000000000E+000
1.376382165229661E+003	2.5196252E+000	-8.874359681352814E-005	1.000000000000000E+000
1.386381364977060E+003	2.5186379E+000	-8.937635672704136E-005	1.000000000000000E+000
1.396379664724482E+003	2.5176156E+000	-9.005845033603090E-005	1.000000000000000E+000
1.406377964471903E+003	2.5166457E+000	-9.050983367656193E-005	1.000000000000000E+000
1.416377264219300E+003	2.5156314E+000	-9.112554014567510E-005	1.000000000000000E+000
1.426376563966696E+003	2.5146120E+000	-9.184682590358253E-005	1.000000000000000E+000
1.436375763714095E+003	2.5136366E+000	-9.244172475335099E-005	1.000000000000000E+000
1.446375063461492E+003	2.5126405E+000	-9.299706548260810E-005	1.000000000000000E+000
1.456374363208888E+003	2.5116444E+000	-9.372190647275857E-005	1.000000000000000E+000
1.466373662956285E+003	2.5106516E+000	-9.422215796448929E-005	1.000000000000000E+000
1.476372862703684E+003	2.5096486E+000	-9.493202562093576E-005	1.000000000000000E+000
1.486372162451080E+003	2.5086334E+000	-9.564933382828788E-005	1.000000000000000E+000
1.496371462198476E+003	2.5076332E+000	-9.609342085348238E-005	1.000000000000000E+000
1.506370761945873E+003	2.5066211E+000	-9.673087809855801E-005	1.000000000000000E+000
1.516369961693272E+003	2.5056152E+000	-9.735343645725348E-005	1.000000000000000E+000
1.526369261440668E+003	2.5046251E+000	-9.795787037705686E-005	1.000000000000000E+000
1.536368561188065E+003	2.5036371E+000	-9.849740387507592E-005	1.000000000000000E+000
1.546367860935461E+003	2.5026352E+000	-9.909622362227512E-005	1.000000000000000E+000
1.556367060682860E+003	2.5016339E+000	-9.969146688653481E-005	1.000000000000000E+000
1.566366360430256E+003	2.5006440E+000	-1.002849843582223E-004	1.000000000000000E+000
1.576365660177653E+003	2.4996333E+000	-1.009592556265415E-004	1.000000000000000E+000
1.586364959925049E+003	2.4986026E+000	-1.015140254164472E-004	1.000000000000000E+000
1.596363159672474E+003	2.4976404E+000	-1.021003466292334E-004	1.000000000000000E+000
1.606361459419895E+003	2.4966190E+000	-1.027849303636339E-004	1.000000000000000E+000
1.616360759167292E+003	2.4956157E+000	-1.032602911549931E-004	1.000000000000000E+000
1.626360058914688E+003	2.4946439E+000	-1.039470183804869E-004	1.000000000000000E+000
1.636359258662087E+003	2.4936249E+000	-1.039846745651560E-004	1.000000000000000E+000
1.646358558409484E+003	2.4926398E+000	-1.050532258957914E-004	1.000000000000000E+000
1.656357858156880E+003	2.4916258E+000	-1.056722062195727E-004	1.000000000000000E+000
1.666357157904276E+003	2.4906330E+000	-1.060738815547050E-004	1.000000000000000E+000
